Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
Tata Inv Corp,740.50,6.39,29677,0.00,0.00,0,0
Tata Motors,75.25,1.42,27835405,75.25,0.00,13712,0
Tata Power,31.05,0.00,10333718,31.05,0.00,925,0
Tata Steel,271.65,1.53,12410812,271.65,0.00,20418,0
Tata Steel Long,221.40,2.10,9812,0.00,221.40,0,75
TCS,"1,836.60",0.99,3374747,0.00,1836.60,0,10
TeamLease Ser.,"1,530.50",-4.40,21069,0.00,1530.50,0,379
Tech Mahindra,511.70,1.64,4032708,0.00,511.70,0,876
Thermax,704.55,0.42,255956,704.55,0.00,1817,0
Thomas Cook,26.45,-4.86,197322,0.00,26.45,0,49434
Thyrocare Techn,523.30,-0.68,65077,0.00,523.30,0,232
Time Techno,33.75,-0.74,141399,33.75,0.00,1,0
Timken,853.75,2.64,44759,0.00,853.75,0,129
Titan Company,927.75,2.40,3816089,927.75,0.00,1956,0
TML-D,33.85,0.45,1668865,0.00,33.85,0,656
Torrent Pharma,"2,509.10",3.23,886661,2509.10,0.00,196,0
Torrent Power,306.00,0.72,853443,306.00,0.00,331,0
Transport Corp,164.25,-2.38,47692,0.00,164.25,0,342
Trent,494.00,1.70,709739,0.00,494.00,0,601
Trident,4.90,0.00,4019324,0.00,4.90,0,32012
Triveni Turbine,65.55,-0.98,13704,0.00,0.00,0,0
TTK Prestige,"4,617.20",-1.77,4490,0.00,4617.20,0,26
TV TodayNetwork,196.90,-1.06,24075,196.90,0.00,20,0
TV18 Broadcast,19.85,0.76,3740462,0.00,19.85,0,325
TVS Motor,299.30,0.77,2658365,0.00,299.30,0,3721
UCO Bank,12.15,-3.95,2961794,0.00,0.00,0,0
Uflex,170.85,5.11,201333,0.00,170.85,0,380
Ujjivan Financi,164.95,0.52,5033475,0.00,164.95,0,12063
UltraTechCement,"3,360.65",1.59,444246,3360.65,0.00,84,0
Union Bank,27.45,-0.72,5453976,0.00,27.45,0,32394
United Brewerie,908.30,3.13,612422,908.30,0.00,936,0
United Spirits,522.05,0.49,1214830,522.05,0.00,1084,0
UPL,349.35,4.02,4557197,349.35,0.00,10042,0
V-Guard Ind,171.70,1.06,237225,171.70,0.00,370,0
Va Tech Wabag,123.40,4.98,210128,123.40,0.00,13937,0
Vakrangee,24.90,0.00,671754,0.00,24.90,0,195887
Vardhman Text,622.50,1.19,27742,0.00,622.50,0,37
Varroc Engineer,142.45,3.34,151352,0.00,142.45,0,101
Varun Beverages,645.75,-0.81,134298,645.75,0.00,40,0
Vedanta,78.45,0.64,16789673,0.00,78.45,0,1384
Venkys,"1,074.20",5.00,35616,1074.20,0.00,8268,0
Vesuvius India,899.35,-2.55,1533,0.00,899.35,0,41
Vinati Organics,903.65,3.92,119513,903.65,0.00,2723,0
VIP Industries,219.70,3.00,460187,219.70,0.00,82,0
Vodafone Idea,4.10,2.50,250387616,4.10,0.00,370369,0
Voltas,490.80,0.75,1763246,490.80,0.00,294,0
VRL Logistics,166.40,1.53,58861,166.40,0.00,125,0
VST,"2,778.80",-0.35,14742,0.00,2778.80,0,50
WABCO India,"6,310.55",0.17,4675,0.00,0.00,0,0
Welspun Corp,66.00,1.46,1722433,66.00,0.00,3761,0
Welspun India,26.55,4.94,740550,26.55,0.00,29251,0
Whirlpool,"1,900.40",3.42,107686,1900.40,0.00,338,0
Wipro,182.05,2.42,9141635,182.05,0.00,2587,0
Wockhardt,267.00,-0.09,321283,0.00,267.00,0,427
Yes Bank,27.05,1.69,32510645,0.00,27.05,0,35751
Zee Entertain,149.75,3.17,16271369,0.00,149.75,0,200
Zensar Tech,89.65,-0.66,31510,0.00,0.00,0,0
Zydus Wellness,"1,330.20",-2.08,55822,1330.20,0.00,2,0
